error_both,condition
0.0423749182725553,fixed
0.0507834346544198,fixed
0.0781901274221857,fixed
0.065142327565531,fixed
0.021273786715541,fixed
0.0602930903592482,fixed
0.0820131176510664,fixed
0.0696581211274749,fixed
0.0550148378952233,fixed
0.0601423343572812,fixed
0.0900335197285873,fixed
0.061512804519448,fixed
0.0482553498598638,fixed
0.0905085532452289,fixed
0.0735720540649445,fixed
0.0247315167168494,fixed
0.0908800114747653,fixed
0.0767290755231087,fixed
0.0506017589810168,fixed
0.0416323136910454,fixed
0.0437025748430854,fixed
0.064968805929061,fixed
0.0374394003429986,fixed
0.0753633313329748,fixed
0.0464482922165182,fixed
0.0301785174709552,fixed
0.0627259369101201,fixed
0.0355812347258822,fixed
0.0409498316726876,fixed
0.0412181700839489,fixed
0.0345855451866037,fixed
0.021212725782955,fixed
0.0357899111129669,fixed
0.0210217156927929,fixed
0.0361655246906066,fixed
0.0483241479284675,fixed
0.0986429851138366,fixed
0.0940395610440557,fixed
0.0195295556625219,fixed
0.0644519034846731,fixed
0.0480063075908957,fixed
0.0605762121917099,fixed
0.0860932928287756,fixed
0.067851462813688,fixed
0.107647380536971,fixed
0.111567506227833,fixed
0.0412859307892618,fixed
0.0647624868761611,fixed
0.0646233265979289,fixed
0.0463789556970671,fixed
0.0518352593790738,fixed
0.138492024474484,fixed
0.145320150005777,fixed
0.0980904703903692,fixed
0.0563620533475058,fixed
0.0803068930196008,fixed
0.0778062667617486,fixed
0.0787663587503636,fixed
0.0578036377461929,fixed
0.0955179777756209,fixed
0.143862256098267,fixed
0.1130508591462,fixed
0.0695164322398974,fixed
0.100274596739247,fixed
0.119838690077924,fixed
0.0519911967277182,fixed
0.0596822617105208,fixed
0.115990102155186,fixed
0.132266790291254,fixed
0.132934696098064,fixed
0.143548624691245,fixed
0.13914593709707,fixed
0.0931659745300921,fixed
0.106917839788947,fixed
0.0885588353631489,fixed
0.11833579372635,fixed
0.152301608111254,fixed
0.18936053828324,fixed
0.205941962198687,fixed
0.207285110070957,fixed
0.169680325178833,fixed
0.144096807193591,fixed
0.155012795402069,fixed
0.0905620712258951,fixed
0.13696517221295,fixed
0.139476139283036,fixed
0.182143659609871,fixed
0.195946098064173,fixed
0.156818439757191,fixed
0.170135271215621,fixed
0.129560003675666,fixed
0.122822764472743,fixed
0.111343827825983,fixed
0.0358206087578112,fixed
0.0626998360794792,fixed
0.0325034689029727,fixed
0.0362455473176367,fixed
0.0423823503067796,fixed
0.0551397744985176,fixed
0.0269523776209094,fixed
0.0455177537327844,fixed
0.0222480492553089,fixed
0.0525095364889449,fixed
0.0289819167214302,fixed
0.0432464320064578,fixed
0.0415719904461499,fixed
0.043396713651399,fixed
0.0242127438131059,fixed
0.0299740877262185,fixed
0.0397697557606709,fixed
0.0503819155233666,fixed
0.0357772379419231,fixed
0.0347821928833747,fixed
0.0488160006133925,fixed
0.0575930306851687,fixed
0.0387243371328218,fixed
0.0457760878264293,fixed
0.0447372693224558,fixed
0.0239596894325816,fixed
0.0266550450502685,fixed
0.0289514814105118,fixed
0.0318930321288011,fixed
0.0387679467455454,fixed
0.075906860973191,fixed
0.0437012371837795,fixed
0.0404539807184214,fixed
0.0177920987548724,fixed
0.0285885853156264,fixed
0.0367128784201384,fixed
0.033785219090706,fixed
0.0813532161999838,fixed
0.0346954953048253,fixed
0.0435914763628837,fixed
0.0571603941075658,fixed
0.0401795686332534,fixed
0.0327902189155076,fixed
0.0336975965775368,fixed
0.0337166719058584,fixed
0.0337473825284814,fixed
0.0793718404371361,fixed
0.0237242189413396,fixed
0.029418270760544,fixed
0.0377734679646546,fixed
0.105847839850833,fixed
0.0428131347696858,fixed
0.0379670842894827,fixed
0.0952504933461448,fixed
0.0267607204471371,fixed
0.0340537730504404,fixed
0.0232110603249462,fixed
0.026778607246321,fixed
0.026811029607217,fixed
0.0212434978600434,fixed
0.0303256989993749,fixed
0.0162129973101062,knee
0.0113003150501048,knee
0.0222746096233054,knee
0.034375447878574,knee
0.0771450537483468,knee
0.0715352371868968,knee
0.0629746778043373,knee
0.0341031252815201,knee
0.0557012857591461,knee
0.0265380498562771,knee
0.0387412047370312,knee
0.0505554052125199,knee
0.078213076174348,knee
0.0774187463509687,knee
0.0594114489940983,knee
0.0246180997442809,knee
0.0202933350197106,knee
0.0252851232763245,knee
0.032565672259166,knee
0.0289236398065166,knee
0.0597742801920153,knee
0.0295778018913456,knee
0.0212996139212963,knee
0.0252892359754092,knee
0.0266203007419248,knee
0.0257605151248127,knee
0.0238079746033444,knee
0.0147445821745372,knee
0.0171648802643669,knee
0.0177701789242593,knee
0.027618371082034,knee
0.0284785417881998,knee
0.0182460595942957,knee
0.0327118456955545,knee
0.0482159319669221,knee
0.0582025899804296,knee
0.0219944675004211,knee
0.0281343038269055,knee
0.0141076813359399,knee
0.0437033060946501,knee
0.0168225781794293,knee
0.0273183851359134,knee
0.0202492525765322,knee
0.0362610783800693,knee
0.0418228373141775,knee
0.0159404073730421,knee
0.021449789397529,knee
0.0543525203864211,knee
0.0241528557513508,knee
0.0759894210041086,knee
0.0377908267292166,knee
0.0475153762913648,knee
0.0264419520671036,knee
0.0288949720931127,knee
0.096868831883438,knee
0.0592562179485339,knee
0.0757232041034194,knee
0.0908406718072428,knee
0.0369066103181704,knee
0.0254261016305464,knee
0.025104224252808,knee
0.0351178353583472,knee
0.105811533744169,knee
0.0675216626231023,knee
0.0784926953831299,knee
0.0542582773737078,knee
0.0287209463824847,knee
0.0331478901549665,knee
0.0474632408387104,knee
0.0570137189578875,knee
0.0837655596733231,knee
0.0761701647492454,knee
0.0349348141770727,knee
0.0397465316554372,knee
0.0453487843167226,knee
0.0270041002765177,knee
0.0274774247183,knee
0.0348638184454894,knee
0.014570253558777,knee
0.0198217671783579,knee
0.0334959671797948,knee
0.0170569208717606,knee
